feature,importance_mean,importance_std
attendance_rate,0.20559999999999995,0.013154466921924273
gpa,0.15900000000000003,0.007874007874011818
engagement_score,0.1362,0.007560423268574326
stress_level,0.09149999999999997,0.006888396039717816
parental_education_level,0.0,0.0
age,0.0,0.0
socioeconomic_status,0.0,0.0
gender,0.0,0.0
previous_academic_performance,0.0,0.0
first_generation_student,0.0,0.0
family_background,0.0,0.0
subject_failure_count,0.0,0.0
scholarship_status,0.0,0.0
class_participation_score,0.0,0.0
course_load,0.0,0.0
credits_completed,0.0,0.0
quiz_completion_rate,0.0,0.0
assignment_submission_rate,0.0,0.0
login_frequency,0.0,0.0
time_spent_on_learning_platform,0.0,0.0
learning_style,0.0,0.0
motivation_level,0.0,0.0
peer_interaction_score,0.0,0.0
counseling_sessions_attended,0.0,0.0
