feature,importance
gpa,0.260819331443538
engagement_score,0.25816090601059205
attendance_rate,0.24130230241241826
stress_level,0.23971746013345177
class_participation_score,0.0
assignment_submission_rate,0.0
counseling_sessions_attended,0.0
credits_completed,0.0
engagement_intensity,0.0
course_load,0.0
age,0.0
first_generation_student,0.0
family_background,0.0
learning_style,0.0
gender,0.0
motivation_level,0.0
parental_education_level,0.0
peer_interaction_score,0.0
login_frequency,0.0
performance_score,0.0
previous_academic_performance,0.0
risk_score,0.0
quiz_completion_rate,0.0
scholarship_status,0.0
socioeconomic_status,0.0
subject_failure_count,0.0
time_spent_on_learning_platform,0.0
