student_id,age,gender,socioeconomic_status,parental_education_level,family_background,first_generation_student,gpa,previous_academic_performance,subject_failure_count,credits_completed,course_load,scholarship_status,attendance_rate,class_participation_score,assignment_submission_rate,quiz_completion_rate,time_spent_on_learning_platform,login_frequency,engagement_score,learning_style,motivation_level,peer_interaction_score,counseling_sessions_attended,stress_level,dropout_status
S0001,21,Male,High,Primary,Nuclear,Yes,2.39,Medium,1,69,4,No,94,1,98,27,19.0,12,1,Visual,2,4,2,Medium,0
S0002,25,Female,Low,Secondary,Joint,No,1.78,High,5,37,5,No,45,9,37,35,17.2,29,6,Kinesthetic,2,6,1,High,1
S0003,19,Male,Low,Primary,Guardian,No,3.88,Medium,1,73,3,No,76,10,35,27,15.7,2,10,Mixed,4,0,1,Medium,0
S0004,21,Female,Medium,None,Joint,Yes,2.44,Low,5,48,4,No,52,10,91,94,19.9,24,5,Visual,5,1,2,Low,0
S0005,20,Male,Low,Graduate,Joint,Yes,3.08,Low,1,101,7,Yes,43,1,41,30,5.3,29,1,Auditory,1,9,0,Medium,1
S0006,24,Female,Medium,Postgraduate,Single Parent,Yes,2.2,Medium,3,57,3,No,94,2,45,55,9.9,13,6,Auditory,2,10,5,Medium,0
S0007,21,Female,Medium,Postgraduate,Joint,Yes,1.85,Medium,4,112,4,No,60,0,92,100,12.8,11,3,Mixed,4,8,1,Medium,1
S0008,24,Female,Medium,Secondary,Nuclear,No,3.23,Medium,0,23,7,No,83,7,64,61,4.1,19,4,Mixed,1,3,4,High,0
S0009,20,Female,Medium,Secondary,Joint,No,2.21,Medium,2,41,3,Yes,87,10,68,99,13.1,27,8,Visual,3,7,1,Medium,0
S0010,19,Male,Low,Secondary,Joint,No,2.79,Medium,2,25,6,No,40,7,30,35,3.2,12,7,Kinesthetic,5,0,5,Medium,0
S0011,18,Female,Medium,Graduate,Single Parent,No,1.52,Medium,2,65,4,No,50,0,43,79,5.3,3,6,Visual,4,6,3,Medium,1
S0012,22,Female,Medium,Graduate,Nuclear,No,2.77,High,2,33,3,No,48,1,87,27,4.4,25,3,Kinesthetic,3,9,4,High,1
S0013,23,Male,Medium,Secondary,Nuclear,No,2.39,Medium,2,68,7,No,96,8,82,65,8.3,4,10,Kinesthetic,1,10,4,Medium,0
S0014,23,Female,High,Primary,Single Parent,No,2.87,High,0,104,4,Yes,93,0,40,50,9.5,15,10,Mixed,4,4,1,Medium,0
S0015,23,Male,Low,Graduate,Joint,No,2.44,Medium,2,65,5,No,69,0,69,23,11.4,24,4,Mixed,1,7,1,Medium,0
S0016,17,Male,Low,Secondary,Single Parent,Yes,2.8,Medium,2,80,6,Yes,94,9,56,65,2.6,29,3,Visual,1,10,1,Medium,0
S0017,24,Male,Low,Postgraduate,Single Parent,Yes,2.66,Low,0,75,3,No,64,4,95,85,3.6,19,5,Mixed,2,1,0,Low,0
S0018,18,Female,Medium,Graduate,Nuclear,No,2.49,Medium,5,99,6,No,48,3,89,71,17.6,7,8,Visual,3,2,0,Low,0
S0019,25,Male,Low,Secondary,Single Parent,No,2.48,Medium,4,80,3,Yes,58,9,49,84,13.7,12,10,Visual,2,7,0,Medium,0
S0020,22,Female,Medium,None,Single Parent,No,3.29,High,2,68,7,Yes,54,2,96,49,12.6,17,1,Visual,4,7,3,Medium,1
S0021,18,Male,High,None,Guardian,Yes,2.63,Medium,5,97,6,No,71,1,32,67,14.8,3,5,Visual,1,6,0,High,0
S0022,19,Female,Medium,Secondary,Joint,No,3.15,Medium,1,34,3,Yes,69,9,65,76,4.6,7,4,Mixed,5,0,5,Medium,0
S0023,21,Male,Low,Graduate,Nuclear,Yes,1.76,Medium,1,110,4,No,44,0,61,75,1.4,8,5,Visual,1,4,2,Low,1
S0024,22,Male,Medium,Secondary,Joint,Yes,3.1,Medium,1,118,4,Yes,71,8,76,32,17.7,19,2,Visual,3,4,0,Low,0
S0025,25,Male,Medium,Primary,Nuclear,No,2.4,Low,5,40,7,No,50,3,37,35,9.6,20,2,Mixed,3,5,1,Low,1
S0026,22,Female,High,Secondary,Joint,Yes,2.6,Medium,0,109,6,No,74,7,49,95,11.7,2,9,Kinesthetic,1,9,2,Low,0
S0027,21,Female,Medium,Graduate,Nuclear,No,2.28,Low,5,91,5,No,82,8,38,36,13.9,2,8,Kinesthetic,2,4,4,High,0
S0028,18,Female,Medium,None,Joint,Yes,1.6,Medium,2,111,3,No,58,3,40,53,15.0,16,6,Visual,1,5,2,Low,1
S0029,20,Female,Medium,None,Joint,No,3.37,Low,2,111,3,No,56,10,91,38,4.9,1,1,Kinesthetic,2,10,2,Low,1
S0030,18,Female,Low,None,Single Parent,Yes,2.83,High,2,83,5,No,94,5,32,45,19.8,28,7,Visual,2,4,0,Medium,0
S0031,24,Female,Low,None,Joint,No,1.98,High,4,85,3,No,64,8,54,94,4.8,1,5,Auditory,3,9,2,High,1
S0032,22,Female,Medium,Secondary,Nuclear,No,1.53,Low,4,67,3,No,44,9,75,92,9.8,22,9,Kinesthetic,1,2,2,Medium,1
S0033,23,Male,Low,None,Nuclear,No,3.66,Low,2,45,5,No,63,8,30,21,12.8,25,7,Visual,4,4,4,Medium,0
S0034,18,Female,High,Graduate,Joint,Yes,3.97,Low,2,47,5,Yes,94,2,47,99,10.0,13,5,Auditory,2,4,4,Medium,0
S0035,18,Male,High,Primary,Nuclear,No,1.98,Medium,2,93,5,No,54,10,97,80,7.6,14,4,Mixed,1,1,0,Medium,1
S0036,17,Male,Medium,None,Nuclear,No,2.98,High,5,40,5,No,58,3,43,57,5.3,8,5,Mixed,2,5,4,Medium,0
S0037,18,Male,Medium,Graduate,Nuclear,Yes,2.24,High,0,84,5,No,70,0,89,59,19.0,26,8,Auditory,1,7,3,Medium,0
S0038,17,Female,Medium,Primary,Nuclear,Yes,2.84,Medium,2,87,6,No,98,10,56,92,9.9,8,8,Visual,3,8,0,Low,0
S0039,22,Male,Low,Postgraduate,Nuclear,Yes,2.24,High,3,30,5,Yes,72,10,82,85,15.3,1,3,Visual,4,0,4,Low,0
S0040,24,Male,Medium,Graduate,Joint,No,3.93,High,0,57,4,No,63,0,45,87,12.1,4,7,Kinesthetic,1,0,4,Medium,0
S0041,19,Male,Medium,None,Nuclear,No,1.82,Medium,0,103,6,No,65,3,60,68,13.2,21,5,Visual,2,1,3,Low,0
S0042,23,Female,Medium,Primary,Joint,Yes,3.1,Medium,2,110,6,Yes,57,7,66,88,17.2,21,3,Visual,3,0,2,Low,1
S0043,22,Female,Medium,None,Guardian,Yes,3.31,Medium,5,23,6,No,58,0,64,44,2.9,21,2,Kinesthetic,1,1,0,Medium,1
S0044,24,Male,Medium,Graduate,Nuclear,No,2.89,Low,2,21,7,No,40,10,99,37,6.7,11,4,Mixed,5,6,2,Low,0
S0045,18,Female,Medium,Graduate,Nuclear,Yes,1.73,Medium,1,58,5,No,90,1,59,79,10.9,12,6,Visual,2,1,1,Medium,0
S0046,23,Male,Medium,Primary,Nuclear,No,3.57,Medium,1,41,4,No,93,5,33,25,8.6,13,2,Visual,2,8,5,Medium,0
S0047,24,Male,Low,Secondary,Nuclear,No,2.88,Medium,3,38,4,No,45,10,87,64,19.5,20,8,Auditory,2,8,2,Medium,0
S0048,17,Female,High,Primary,Nuclear,No,2.59,High,3,37,4,No,87,6,96,52,11.7,20,7,Visual,4,9,3,Low,0
S0049,17,Female,Low,Graduate,Joint,No,2.55,High,4,40,4,No,99,7,32,62,5.3,18,3,Mixed,5,8,5,Medium,0
S0050,21,Male,Medium,None,Nuclear,No,1.9,Low,4,56,5,Yes,78,8,90,60,5.1,16,4,Kinesthetic,1,3,3,Medium,0
S0051,23,Male,Low,Graduate,Joint,No,2.89,High,1,82,3,No,91,7,51,81,4.9,4,7,Auditory,3,2,3,Medium,0
S0052,21,Other,Medium,Primary,Nuclear,No,3.6,Low,3,47,7,Yes,79,6,56,50,1.6,12,5,Mixed,3,0,5,Low,0
S0053,19,Male,Medium,Primary,Joint,No,2.57,Low,0,40,4,No,40,3,57,77,12.6,22,6,Mixed,2,8,0,Medium,0
S0054,19,Female,Medium,Graduate,Joint,Yes,3.35,Medium,4,75,7,No,86,10,44,49,11.0,6,4,Mixed,1,2,0,Medium,0
S0055,19,Male,Medium,Graduate,Nuclear,Yes,3.43,High,4,100,4,No,78,4,39,45,5.7,20,1,Mixed,3,1,0,High,0
S0056,20,Female,Medium,Secondary,Nuclear,No,2.7,Medium,4,95,6,Yes,53,6,43,49,16.5,29,10,Mixed,3,7,2,Low,0
S0057,17,Female,Low,Graduate,Nuclear,No,1.54,Medium,5,89,7,No,41,6,84,87,8.4,28,10,Auditory,2,10,2,Medium,1
S0058,25,Male,Low,Primary,Single Parent,No,1.52,Medium,1,89,5,No,77,1,36,69,17.3,15,6,Visual,4,2,1,Medium,0
S0059,19,Female,Medium,Graduate,Nuclear,No,1.72,Medium,5,58,6,Yes,65,7,78,46,5.0,15,3,Mixed,2,9,0,Low,1
S0060,17,Male,Low,Secondary,Single Parent,No,3.34,Low,1,89,3,Yes,87,1,73,63,11.3,4,6,Visual,1,2,2,Low,0
S0061,17,Male,High,Primary,Single Parent,No,3.05,High,4,67,7,No,47,1,63,64,11.7,10,6,Auditory,3,9,0,Low,0
S0062,24,Female,Medium,Postgraduate,Nuclear,No,2.4,High,0,113,7,No,90,7,52,92,8.6,21,4,Auditory,5,9,0,Low,0
S0063,19,Female,Medium,Graduate,Joint,Yes,2.86,Medium,1,79,6,Yes,74,4,58,73,16.2,14,4,Kinesthetic,5,3,0,High,0
S0064,18,Female,High,Primary,Nuclear,Yes,2.89,Medium,3,106,7,No,53,6,39,34,15.4,2,5,Kinesthetic,3,3,3,Medium,0
S0065,19,Male,High,Postgraduate,Nuclear,No,1.59,Medium,4,29,4,No,46,0,65,73,13.2,22,8,Mixed,1,6,4,Medium,1
S0066,19,Male,Low,Secondary,Nuclear,Yes,2.93,High,0,23,3,Yes,84,1,73,70,17.2,2,2,Mixed,2,3,2,Low,0
S0067,18,Male,Low,Graduate,Nuclear,Yes,2.98,High,5,29,3,No,62,9,63,43,4.8,11,5,Mixed,2,2,3,High,0
S0068,20,Male,Low,None,Nuclear,No,1.83,Medium,4,29,4,No,56,7,62,37,18.5,12,3,Visual,5,5,3,Low,1
S0069,18,Male,Medium,Primary,Guardian,Yes,1.68,High,1,64,7,No,89,9,87,39,8.1,19,6,Visual,1,1,0,Medium,0
S0070,22,Female,Medium,Primary,Nuclear,No,3.15,Low,2,108,6,No,43,0,55,81,5.3,10,1,Visual,5,5,1,Low,1
S0071,21,Female,High,Secondary,Joint,Yes,2.46,High,0,25,7,Yes,45,3,66,35,8.3,11,4,Mixed,5,6,5,Medium,0
S0072,25,Male,Low,Secondary,Joint,No,3.59,Low,2,66,7,No,99,7,97,93,15.9,13,8,Kinesthetic,2,9,3,Low,0
